point,nir,class,site
5,0.0658842,non-shadow,NSABHC0010
6,0.0600898,non-shadow,NSABHC0010
7,0.0457364,shadow,NSABHC0010
8,0.0643686,non-shadow,NSABHC0010
9,0.0665105,non-shadow,NSABHC0010
10,0.0630926,non-shadow,NSABHC0010
11,0.0606349,non-shadow,NSABHC0010
12,0.0632666,non-shadow,NSABHC0010
13,0.0437768,shadow,NSABHC0010
14,0.0667279,non-shadow,NSABHC0010
15,0.0673747,non-shadow,NSABHC0010
16,0.0673317,non-shadow,NSABHC0010
17,0.0583383,non-shadow,NSABHC0010
18,0.0657269,non-shadow,NSABHC0010
19,0.0656983,non-shadow,NSABHC0010
20,0.0491072,shadow,NSABHC0010
21,0.0538034,non-shadow,NSABHC0010
22,0.0462088,shadow,NSABHC0010
23,0.050083,shadow,NSABHC0010
24,0.0496928,shadow,NSABHC0010
25,0.0511116,shadow,NSABHC0010
26,0.053067,shadow,NSABHC0010
27,0.0397792,shadow,NSABHC0010
28,0.0670407,non-shadow,NSABHC0010
29,0.0658284,non-shadow,NSABHC0010
30,0.069069,non-shadow,NSABHC0010
31,0.0582904,non-shadow,NSABHC0010
32,0.0569514,non-shadow,NSABHC0010
33,0.0545262,shadow,NSABHC0010
34,0.0535766,shadow,NSABHC0010
35,0.0597206,non-shadow,NSABHC0010
36,0.0464738,shadow,NSABHC0010
37,0.062973,non-shadow,NSABHC0010
38,0.0488241,shadow,NSABHC0010
39,0.0571865,non-shadow,NSABHC0010
40,0.0406977,shadow,NSABHC0010
41,0.0566682,non-shadow,NSABHC0010
42,0.0428952,shadow,NSABHC0010
43,0.0540487,non-shadow,NSABHC0010
44,0.056889,non-shadow,NSABHC0010
45,0.0510697,shadow,NSABHC0010
46,0.0653395,non-shadow,NSABHC0010
47,0.0569778,non-shadow,NSABHC0010
48,0.0633009,non-shadow,NSABHC0010
49,0.0680469,non-shadow,NSABHC0010
50,0.0386929,shadow,NSABHC0010
51,0.0450107,shadow,NSABHC0010
52,0.0644789,non-shadow,NSABHC0010
53,0.0642501,non-shadow,NSABHC0010
54,0.0677193,non-shadow,NSABHC0010
55,0.0696361,non-shadow,NSABHC0010
56,0.057704,non-shadow,NSABHC0010
57,0.0549598,shadow,NSABHC0010
58,0.0693806,non-shadow,NSABHC0010
59,0.0663241,non-shadow,NSABHC0010
60,0.0698723,non-shadow,NSABHC0010
61,0.0399556,shadow,NSABHC0010
62,0.0588119,non-shadow,NSABHC0010
63,0.0547031,shadow,NSABHC0010
64,0.066405,non-shadow,NSABHC0010
65,0.0652755,non-shadow,NSABHC0010
66,0.053546,non-shadow,NSABHC0010
67,0.0624164,non-shadow,NSABHC0010
68,0.0674105,non-shadow,NSABHC0010
69,0.0552465,non-shadow,NSABHC0010
70,0.061658,non-shadow,NSABHC0010
71,0.0434007,shadow,NSABHC0010
72,0.0554462,non-shadow,NSABHC0010
73,0.0392535,shadow,NSABHC0010
74,0.0669769,non-shadow,NSABHC0010
75,0.0524494,non-shadow,NSABHC0010
76,0.0437402,shadow,NSABHC0010
77,0.0621716,non-shadow,NSABHC0010
78,0.0600926,non-shadow,NSABHC0010
79,0.0685309,non-shadow,NSABHC0010
80,0.0673443,non-shadow,NSABHC0010
81,0.0621889,non-shadow,NSABHC0010
82,0.0628733,non-shadow,NSABHC0010
83,0.0637512,non-shadow,NSABHC0010
84,0.042069,shadow,NSABHC0010
85,0.0464239,non-shadow,NSABHC0010
86,0.0673914,non-shadow,NSABHC0010
87,0.0628186,non-shadow,NSABHC0010
88,0.058093,non-shadow,NSABHC0010
89,0.0643002,non-shadow,NSABHC0010
90,0.0582503,non-shadow,NSABHC0010
91,0.0650405,non-shadow,NSABHC0010
92,0.0491344,shadow,NSABHC0010
93,0.0545709,non-shadow,NSABHC0010
94,0.0444654,shadow,NSABHC0010
95,0.0451196,shadow,NSABHC0010
96,0.0692107,non-shadow,NSABHC0010
97,0.0662639,non-shadow,NSABHC0010
98,0.0608806,non-shadow,NSABHC0010
99,0.0629151,non-shadow,NSABHC0010
100,0.0530693,shadow,NSABHC0010
