point,ndvi,class,site
12,0.1299084,veg,NSABHC0009
46,0.1249547,veg,NSABHC0009
65,0.1220212,veg,NSABHC0009
85,0.1206679,veg,NSABHC0009
75,0.1186283,veg,NSABHC0009
20,0.1182428,veg,NSABHC0009
43,0.1167382,veg,NSABHC0009
57,0.1137943,veg,NSABHC0009
15,0.1115963,veg,NSABHC0009
80,0.1107749,veg,NSABHC0009
97,0.1103868,veg,NSABHC0009
2,0.1092907,veg,NSABHC0009
68,0.1083796,veg,NSABHC0009
44,0.1082081,veg,NSABHC0009
31,0.1073931,veg,NSABHC0009
87,0.1052698,veg,NSABHC0009
92,0.1050697,veg,NSABHC0009
47,0.1024334,veg,NSABHC0009
48,0.0966218,veg,NSABHC0009
93,0.0943973,veg,NSABHC0009
49,0.0940444,veg,NSABHC0009
64,0.09397,veg,NSABHC0009
60,0.087837,veg,NSABHC0009
61,0.0814136,veg,NSABHC0009
24,0.0810974,veg,NSABHC0009
84,0.0772189,veg,NSABHC0009
51,0.0724692,veg,NSABHC0009
63,0.0683316,veg,NSABHC0009
99,0.0658604,veg,NSABHC0009
41,0.0651166,veg,NSABHC0009
82,0.0648373,veg,NSABHC0009
79,0.0630473,veg,NSABHC0009
52,0.0617065,veg,NSABHC0009
70,0.0610692,veg,NSABHC0009
91,0.0597039,non-veg,NSABHC0009
5,0.0536987,veg,NSABHC0009
38,0.0528497,veg,NSABHC0009
23,0.0501323,veg,NSABHC0009
30,0.0496164,veg,NSABHC0009
62,0.0415567,veg,NSABHC0009
88,0.0399886,veg,NSABHC0009
78,0.0384518,non-veg,NSABHC0009
76,0.0266296,veg,NSABHC0009
58,0.0243547,veg,NSABHC0009
95,0.0196082,non-veg,NSABHC0009
40,0.0165468,non-veg,NSABHC0009
13,0.0157279,non-veg,NSABHC0009
45,0.0126756,non-veg,NSABHC0009
89,0.0106791,non-veg,NSABHC0009
98,0.0097874,non-veg,NSABHC0009
50,0.008439,non-veg,NSABHC0009
37,0.0083908,non-veg,NSABHC0009
71,0.0042615,non-veg,NSABHC0009
55,0.0031247,non-veg,NSABHC0009
100,0.0016093,non-veg,NSABHC0009
29,0.0000166,non-veg,NSABHC0009
77,-0.001158,non-veg,NSABHC0009
17,-0.0020576,non-veg,NSABHC0009
34,-0.003009,non-veg,NSABHC0009
83,-0.0030144,non-veg,NSABHC0009
56,-0.0032883,non-veg,NSABHC0009
90,-0.0036933,non-veg,NSABHC0009
7,-0.0081338,non-veg,NSABHC0009
94,-0.0094197,non-veg,NSABHC0009
86,-0.0102166,non-veg,NSABHC0009
21,-0.0111215,non-veg,NSABHC0009
22,-0.0112391,non-veg,NSABHC0009
59,-0.012011,non-veg,NSABHC0009
69,-0.0132947,non-veg,NSABHC0009
39,-0.0149507,non-veg,NSABHC0009
14,-0.0195463,non-veg,NSABHC0009
66,-0.0202992,non-veg,NSABHC0009
25,-0.0286793,non-veg,NSABHC0009
54,-0.0301001,non-veg,NSABHC0009
72,-0.0362022,non-veg,NSABHC0009
28,-0.0392667,veg,NSABHC0009
35,-0.0494013,non-veg,NSABHC0009
26,-0.0595754,non-veg,NSABHC0009
27,-0.072378,non-veg,NSABHC0009
